,pair,title,description,link,provider,time_published
0,usd-jpy,"Asian stocks mixed, dollar drifts before megacap earnings, jobs data",By Kevin Buckland TOKYO (Reuters) -Asian stocks were broadly mixed in volatile trading on Tuesday as investors girded for three days of tech megacap earnings reports on Wall...,https://www.investing.com/news/economy-news/asian-stocks-mixed-dollar-drifts-before-megacap-earnings-jobs-data-3687135,Reuters,2024-10-29 07:00:43
1,usd-jpy,Yen mired in political uncertainty; dollar firms ahead of key data,By Rae Wee SINGAPORE (Reuters) -The yen languished near a three-month trough on Tuesday as the loss of a parliamentary majority for Japan's ruling coalition in weekend elections...,https://www.investing.com/news/economy-news/yen-mired-in-political-uncertainty-dollar-looks-to-key-data-releases-3687116,Reuters,2024-10-29 06:20:33
2,usd-jpy,Asia FX softens with econ. data in focus; yen steadies amid intervention talk,"Investing.com-- Most Asian currencies weakened slightly on Tuesday, extending recent losses as traders remained risk-averse before a string of key economic readings this week. The...",https://www.investing.com/news/forex-news/asia-fx-softens-with-econ-data-in-focus-yen-steadies-amid-intervention-talk-3687144,Investing.com,2024-10-29 03:50:36
3,usd-jpy,Japan's finance minister vows to closely watch FX moves,"TOKYO (Reuters) - Japan's Finance Minister Katsunobu Kato reiterated on Tuesday that the authorities would be vigilant to foreign exchange moves, including those driven by...",https://www.investing.com/news/economy-news/japans-finance-minister-vows-to-closely-watch-fx-moves-3687131,Reuters,2024-10-29 03:05:32
4,usd-jpy,Asia FX at risk as dollar firms into US elections- JPM,"Investing.com-- Asian currencies are at risk of further weakness amid recent strength in the dollar, especially if the upcoming U.S. elections result in a Republican sweep,...",https://www.investing.com/news/forex-news/asia-fx-at-risk-as-dollar-firms-into-us-elections-jpm-3687096,Investing.com,2024-10-29 00:09:28
5,usd-jpy,"Stocks gain, oil falls 6%; big tech-related earnings on tap this week",By Caroline Valetkevitch NEW YORK (Reuters) -Global stock indexes rose on Monday as investors awaited earnings reports this week from several of the biggest U.S. tech-related...,https://www.investing.com/news/economy-news/oil-slides-on-mideast-respite-yen-down-as-japan-govt-loses-majority-3684778,Reuters,2024-10-28 21:56:39
6,usd-jpy,"Morning Bid: Uncertainty runs deep, investors seek clearer signals","By Jamie McGeever (Reuters) - A look at the day ahead in Asian markets.  Investors in Asia could be forgiven for going into Tuesday's session with a high degree of trepidation, as...",https://www.investing.com/news/economy-news/morning-bid-uncertainty-runs-deep-investors-seek-clearer-signals-3686975,Reuters,2024-10-28 21:51:34
7,usd-jpy,Japan's government in flux after election gives no party majority,"By John Geddie, Tim Kelly and Sakura Murakami TOKYO (Reuters) -The make-up of Japan's future government was in flux on Monday after voters punished Prime Minister Shigeru Ishiba's...",https://www.investing.com/news/economy-news/japans-government-in-flux-after-election-gives-no-party-majority-yen-hit-3684780,Reuters,2024-10-28 16:03:07
8,usd-jpy,Japan stocks rally as yen tumbles after coalition drubbing,By Brigid Riley and Kevin Buckland TOKYO (Reuters) - Japanese stocks rose on Monday as the yen careened to a three-month low after Prime Minister Shigeru Ishiba's coalition lost...,https://www.investing.com/news/economy-news/japans-nikkei-and-yen-set-to-lurch-on-political-uncertainty-3684721,Reuters,2024-10-28 16:01:54
9,usd-jpy,"Japan's political shakeup complicates BOJ, fiscal policy outlook",By Makiko Yamazaki TOKYO (Reuters) - The loss of Japan's ruling bloc's parliamentary majority has heightened prospects that a new government will need to ramp up spending and of...,https://www.investing.com/news/economy-news/japans-political-shakeup-complicates-boj-fiscal-policy-outlook-3684895,Reuters,2024-10-28 15:35:44
10,usd-jpy,Yen under pressure after Japan election,"By Laura Matthews, Tom Westbrook, Stefano Rebaudo NEW YORK/SINGAPORE (Reuters) -The yen hit three-month lows against the dollar on Monday, as Japan's ruling coalition's election...",https://www.investing.com/news/economy-news/yen-slips-as-japans-election-result-clouds-boj-rate-hike-prospects-3684767,Reuters,2024-10-28 14:51:26
11,usd-jpy,Will LDP defeat weaken or strengthen the yen?,"Investing.com - The Japanese general election over the weekend saw a political shakeup with the loss of the ruling bloc's parliamentary majority, and Citigroup looks at the...",https://www.investing.com/news/forex-news/will-ldp-defeat-weaken-or-strengthen-the-yen-3685773,Investing.com,2024-10-28 13:24:34
12,usd-jpy,"Morning Bid: Oil and yen drop on MidEast restraint, Japan indecision",A look at the day ahead in U.S. and global markets from Mike Dolan  A monster Halloween week of critical market events kicked off with a sharp slide in both crude oil prices and...,https://www.investing.com/news/commodities-news/morning-bid-oil-and-yen-drop-on-mideast-restraint-japan-indecision-3685180,Reuters,2024-10-28 10:22:35
13,usd-jpy,Analysis-Markets gear up for two wild weeks of elections and rate moves,By Harry Robertson and Naomi Rovnick LONDON (Reuters) - Investors globally are piling into the U.S. dollar and betting on rising volatility ahead of a crucial two weeks in which...,https://www.investing.com/news/economy-news/analysismarkets-gear-up-for-two-wild-weeks-of-elections-and-rate-moves-3685048,Reuters,2024-10-28 10:00:49
14,usd-jpy,Dollar steady at start of action-packed week; euro edges higher,"Investing.com - The U.S. dollar steadied Monday, on course for a hefty monthly gain, while the euro was steady at the start of an action-packed week. At 05:35 ET (09:35 GMT), the...",https://www.investing.com/news/forex-news/dollar-steady-at-start-of-actionpacked-week-euro-edges-higher-3685009,Investing.com,2024-10-28 09:39:06
15,usd-jpy,Japan stocks higher at close of trade; Nikkei 225 up 2.01%,"Investing.com – Japan stocks were higher after the close on Monday, as gains in the Manufacturing, Textile and Electrical/Machinery sectors led shares higher. At the close in...",https://www.investing.com/news/stock-market-news/japan-stocks-higher-at-close-of-trade-nikkei-225-up-201-3684894,Investing.com,2024-10-28 06:35:03
16,usd-jpy,Morning Bid: Event risks galore this week,"A look at the day ahead in European and global markets from Vidya Ranganathan  A weekend election in Japan that has knocked the yen down to three-month lows, a heavy U.S....",https://www.investing.com/news/economy-news/morning-bid-event-risks-galore-this-week-3684868,Reuters,2024-10-28 05:45:55
17,usd-jpy,"Asia FX weakens, yen slides after election quashes rate hike bets",Investing.com-- Most Asian currencies weakened on Monday with the Japanese yen sliding to a three-month low amid bets that the loss of a parliamentary majority for Japan’s ruling...,https://www.investing.com/news/forex-news/asia-fx-weakens-yen-slides-after-election-quashes-rate-hike-bets-3684811,Investing.com,2024-10-28 04:05:54
18,usd-jpy,"Asia stocks rise as M.East fears ease, Japan shrugs off election upset","Investing.com-- Most Asian stocks rose on Monday as concerns over the Israel-Iran conflict were soothed by a less severe than feared attack by Israel, while Japanese shares rose...",https://www.investing.com/news/stock-market-news/asia-stocks-rise-as-meast-fears-ease-japan-shrugs-off-election-upset-3684797,Investing.com,2024-10-28 02:39:54
19,usd-jpy,Morning Bid: Japan election shockwaves kick off critical week,By Jamie McGeever (Reuters) - A look at the day ahead in Asian markets.  A hugely pivotal week for world markets begins with investors in Asia already bracing for volatile trading...,https://www.investing.com/news/economy-news/morning-bid-japan-election-shockwaves-kick-off-critical-week-3684760,Reuters,2024-10-27 21:52:10
20,usd-jpy,"There are indications the ""Trump trade"" has commenced, BCA Research says",Investing.com -- US Treasury yields have touched three-month highs as traders gauge the path ahead for Federal Reserve interest rate policy this year and assess the potential...,https://www.investing.com/news/stock-market-news/there-are-indications-the-trump-trade-has-commenced-bca-research-says-3677968,Investing.com,2024-10-26 08:30:00
21,usd-jpy,"Stocks slip, notch weekly loss on US election nerves; crude oil gains","By Chibuike Oguh NEW YORK (Reuters) -Global stocks slipped on Friday, finishing the week lower amid U.S. election jitters, while oil prices rose due to concerns about fighting in...",https://www.investing.com/news/economy-news/dollar-droops-with-us-yields-stocks-mixed-amid-rates-election-risks-3682402,Reuters,2024-10-25 20:52:13
22,usd-jpy,U.S. stocks mixed at close of trade; Dow Jones Industrial Average down 0.61%,"Investing.com – U.S. stocks were mixed after the close on Friday, as gains in the Technology, Oil & Gas and Consumer Goods sectors led shares higher while losses in the Telecoms,...",https://www.investing.com/news/stock-market-news/us-stocks-mixed-at-close-of-trade-dow-jones-industrial-average-down-061-3684263,Investing.com,2024-10-25 20:35:06
23,usd-jpy,IMF sees weak yen beneficial for Japan's economy,"By Leika Kihara WASHINGTON (Reuters) -A weak yen is beneficial for Japan's economy as the boost to exports exceeds the increase in the cost of imports, a senior International...",https://www.investing.com/news/economy-news/imf-sees-weak-yen-beneficial-for-japans-economy-urges-gradual-rate-hikes-3683792,Reuters,2024-10-25 19:55:30
24,usd-jpy,Dollar edges lower after data as recent rally stalls,"By Chuck Mikolajczak NEW YORK (Reuters) -The dollar slipped for a second straight session, as a recent ascent lost steam, but the greenback was still on track for a fourth...",https://www.investing.com/news/economy-news/yen-wobbles-vulnerable-to-political-reverberations-3682390,Reuters,2024-10-25 15:41:17
25,usd-jpy,"Factbox-What to expect in 2024: Forecasts for GDP, inflation and other assets",(Reuters) -The U.S. Federal Reserve cut interest rates by an oversized 50 basis points in its Sept. 17-18 meeting that Chair Jerome Powell said was meant to show policymakers'...,https://www.investing.com/news/economy-news/factboxwhat-to-expect-in-2024-forecasts-for-gdp-inflation-and-other-assets-3683567,Reuters,2024-10-25 13:21:03
26,usd-jpy,Markets' wild 2024 election ride rolls on as U.S. vote looms,By Libby George and Naomi Rovnick LONDON (Reuters) - Japan's election could prompt the next market gyrations in a year in which countries housing half the world's population will...,https://www.investing.com/news/economy-news/markets-wild-2024-election-ride-rolls-on-as-us-vote-looms-3683144,Reuters,2024-10-25 11:37:07
27,usd-jpy,BoJ to leave rates unchanged at next meeting - Citi,"Investing.com - The Bank of Japan meets next week, and Citigroup expects the central bank to leave policies unchanged given external uncertainties. “We share the widely held view...",https://www.investing.com/news/economy/boj-to-leave-rates-unchanged-at-next-meeting--citi-3682749,Investing.com,2024-10-25 10:23:17
28,usd-jpy,"Morning Bid: Megacap earnings loom, Japan decides, gilts wobble",A look at the day ahead in U.S. and global markets from Mike Dolan Tesla (NASDAQ:TSLA)'s 20%-plus stock surge whets investor appetites for next week's earnings from most of the...,https://www.investing.com/news/commodities-news/morning-bid-megacap-earnings-loom-japan-decides-gilts-wobble-3682700,Reuters,2024-10-25 10:07:13
29,usd-jpy,Dollar on track for weekly gain; next week's payrolls looms large,"Investing.com - The U.S. dollar held largely steady Friday, on course for a fourth straight week of gains, underpinned by falling expectations of aggressive Fed rate cuts as well...",https://www.investing.com/news/forex-news/dollar-on-track-for-weekly-gain-next-weeks-payrolls-looms-large-3682528,Investing.com,2024-10-25 08:30:01
30,usd-jpy,Japan stocks lower at close of trade; Nikkei 225 down 0.76%,"Investing.com – Japan stocks were lower after the close on Friday, as losses in the Power, Paper & Pulp and Communication sectors led shares lower. At the close in Tokyo, the...",https://www.investing.com/news/stock-market-news/japan-stocks-lower-at-close-of-trade-nikkei-225-down-076-3682472,Investing.com,2024-10-25 06:35:04
31,usd-jpy,Australia stocks higher at close of trade; S&P/ASX 200 up 0.06%,"Investing.com – Australia stocks were higher after the close on Friday, as gains in the IT, Healthcare and Metals & Mining sectors led shares higher. At the close in Sydney, the...",https://www.investing.com/news/stock-market-news/australia-stocks-higher-at-close-of-trade-spasx-200-up-006-3682448,Investing.com,2024-10-25 05:35:04
32,usd-jpy,Asia FX muted as dollar holds weekly gains; yen steady with election in focus,Investing.com-- Most Asian currencies weakened slightly on Friday as the dollar retained a bulk of its weekly gains on expectations of a slower pace of interest rate cuts by the...,https://www.investing.com/news/forex-news/asia-fx-muted-as-dollar-holds-weekly-gains-yen-steady-with-election-in-focus-3682411,Investing.com,2024-10-25 04:08:17
33,usd-jpy,"BOJ may offer less dovish signs as US recession fears ease, rates on hold","By Leika Kihara WASHINGTON (Reuters) - The Bank of Japan is set to maintain ultra-low interest rates next week, and probably signal a less dovish policy outlook due to receding...",https://www.investing.com/news/economy-news/boj-may-offer-less-dovish-signs-as-us-recession-fears-ease-rates-on-hold-3682408,Reuters,2024-10-25 03:56:15
34,usd-jpy,"Asia stocks muted; Japan shares dip amid election, yen risks","Investing.com-- Most Asian stocks were rangebound on Friday amid a dearth of immediate trading cues, while Japanese shares sank in anticipation of a hotly contested general...",https://www.investing.com/news/stock-market-news/asia-stocks-muted-japan-shares-dip-amid-election-yen-risks-3682400,Investing.com,2024-10-25 02:25:11
35,usd-jpy,"Japan, US finance chiefs discussed FX moves in bilateral meeting, official says","By Leika Kihara WASHINGTON (Reuters) -Japanese Finance Minister Katsunobu Kato and U.S. Treasury Secretary Janet Yellen discussed recent exchange-rate moves, among other topics,...",https://www.investing.com/news/economy-news/japan-us-finance-chiefs-discussed-fx-moves-in-bilateral-meeting-3682263,Reuters,2024-10-24 23:50:41
36,usd-jpy,"Tokyo CPI inflation falls slightly less than expected in Oct, below BOJ target","Investing.com-- Consumer price index inflation in Tokyo eased slightly less than expected in October, although core inflation was still seen dropping below the Bank of Japan’s...",https://www.investing.com/news/economic-indicators/tokyo-cpi-inflation-falls-slightly-less-than-expected-in-oct-below-boj-target-3682269,Investing.com,2024-10-24 23:38:49
37,usd-jpy,"Morning Bid: Markets becalmed, eyes on Japan",By Jamie McGeever (Reuters) - A look at the day ahead in Asian markets.  A day of general calm across world markets on Thursday that saw the dollar and U.S. bond yields soften and...,https://www.investing.com/news/economy-news/morning-bid-markets-becalmed-eyes-on-japan-3682086,Reuters,2024-10-24 21:51:13
38,usd-jpy,"Global shares edge higher, US yields fall as strong earnings allay election worries","By Chibuike Oguh NEW YORK (Reuters) -Global shares edged higher in choppy trading on Thursday, snapping three straight sessions of losses, while U.S. Treasury yields and strong...",https://www.investing.com/news/stock-market-news/asia-shares-fall-on-us-election-anxiety-tesla-earnings-provide-some-cheer-3679212,Reuters,2024-10-24 20:46:40
39,usd-jpy,"Euro, yen climb as dollar rally takes a breather","By Chuck Mikolajczak NEW YORK (Reuters) -The euro and Japanese yen strengthened on Thursday as the U.S. dollar paused after rallying to a nearly three-month high, with the...",https://www.investing.com/news/economy-news/dollar-stands-tall-on-bets-for-slower-fed-cuts-potential-trump-win-3679168,Reuters,2024-10-24 19:35:40
40,usd-jpy,This is the biggest risk to the S&P 500 bull market. Hint: it’s not a US recession,"Investing.com -- The biggest threat to the S&P 500 bull market is not a US recession, but Japan’s deeply negative real rates relative to the US, according to BCA Research...",https://www.investing.com/news/stock-market-news/this-is-the-biggest-risk-to-the-sp-500-bull-market-hint-its-not-a-us-recession-3679673,Investing.com,2024-10-24 09:46:02
41,usd-jpy,Harris win could fuel massive forex repricing - Standard Chartered,"Investing.com - The US dollar has risen strongly in October as traders have priced in the rising probability of a Trump win in the betting markets, said Standard Chartered...",https://www.investing.com/news/forex-news/harris-win-could-fuel-massive-forex-repricing--standard-chartered-3679613,Investing.com,2024-10-24 09:13:08
42,usd-jpy,Dollar slips from three-month highs; euro gains after PMIs,"Investing.com - The U.S. dollar slipped slightly lower Thursday, but remained close to three-month highs underpinned by expectations for a slower pace of interest rate cuts by the...",https://www.investing.com/news/forex-news/dollar-slips-from-threemonth-highs-euro-gains-after-pmis-3679530,Investing.com,2024-10-24 08:11:04
43,usd-jpy,Asia FX nurses steep losses with yen near 3-mth low; dollar strong,"Investing.com-- Most Asian currencies steadied from recent losses on Thursday with the Japanese yen remaining close to near three-month lows, while the dollar remained underpinned...",https://www.investing.com/news/forex-news/asia-fx-nurses-steep-losses-with-yen-near-3mth-low-dollar-strong-3679257,Investing.com,2024-10-24 04:09:04
44,usd-jpy,Japan warns against 'one-sided' currency moves as yen slides,"By Leika Kihara WASHINGTON (Reuters) - Japanese Finance Minister Katsunobu Kato issued a warning against currency speculation on Wednesday, expressing concern over ""one-sided,...",https://www.investing.com/news/economy-news/japan-warns-against-onesided-currency-moves-as-yen-slides-3679226,Reuters,2024-10-24 03:11:06
45,usd-jpy,"Japan manufacturing, services PMI shrink in Oct as activity slows","Investing.com-- Japanese business activity shrank in October, preliminary purchasing managers index data showed on Thursday, with both manufacturing and services sectors...",https://www.investing.com/news/economic-indicators/japan-manufacturing-services-pmi-shrink-in-oct-as-activity-slows-3679108,Investing.com,2024-10-24 00:43:50
46,usd-jpy,"Morning Bid: Big Tech tanks, yen slide accelerates",By Jamie McGeever (Reuters) - A look at the day ahead in Asian markets.  Asian markets are likely to open on the defensive on Thursday with sentiment badly dented by the continued...,https://www.investing.com/news/economy-news/morning-bid-big-tech-tanks-yen-slide-accelerates-3678838,Reuters,2024-10-23 21:51:22
47,usd-jpy,"Stocks fall, gold retreats from record peak amid US election worries","By Chibuike Oguh and Amanda Cooper NEW YORK/LONDON (Reuters) -Global stocks edged lower on Wednesday amid tepid trading ahead of the U.S. election, while gold prices retreated...",https://www.investing.com/news/economy-news/stocks-stumble-dollar-and-gold-rise-as-traders-weigh-us-rates-election-3676521,Reuters,2024-10-23 21:21:05
48,usd-jpy,U.S. stocks lower at close of trade; Dow Jones Industrial Average down 0.96%,"Investing.com – U.S. stocks were lower after the close on Wednesday, as losses in the Technology, Consumer Services and Consumer Goods sectors led shares lower. At the close in...",https://www.investing.com/news/stock-market-news/us-stocks-lower-at-close-of-trade-dow-jones-industrial-average-down-096-3678656,Investing.com,2024-10-23 20:35:06
49,usd-jpy,"Dollar continues rally, hits 3-month high vs yen",By Chuck Mikolajczak NEW YORK (Reuters) -The dollar climbed above 153 against the yen for the first time in nearly three months on Wednesday on U.S. economic strength and an...,https://www.investing.com/news/economy-news/fed-outlook-pushes-dollar-to-2-12-month-peak-yen-under-pressure-3676507,Reuters,2024-10-23 19:27:24
50,usd-jpy,"Morning Bid: Dollar rides rising yields, Canada set to ease","A look at the day ahead in U.S. and global markets from Mike Dolan The dollar continues to ride higher on the back of an anxious pre-election climb in U.S. Treasury yields,...",https://www.investing.com/news/commodities-news/morning-bid-dollar-rides-rising-yields-canada-set-to-ease-3676874,Reuters,2024-10-23 11:21:52
51,usd-jpy,Dollar rises to highs; political uncertainty spurs safe haven demand,"Investing.com - The U.S. dollar climbed to new highs Wednesday, as uncertainty over U.S. interest rates and the upcoming presidential elections kept the safe haven in demand. At...",https://www.investing.com/news/forex-news/dollar-rises-to-highs-political-uncertainty-spurs-safe-haven-demand-3676751,Investing.com,2024-10-23 08:16:43
52,usd-jpy,Japan stocks lower at close of trade; Nikkei 225 down 0.85%,"Investing.com – Japan stocks were lower after the close on Wednesday, as losses in the Shipbuilding, Power and Banking sectors led shares lower. At the close in Tokyo, the Nikkei...",https://www.investing.com/news/stock-market-news/japan-stocks-lower-at-close-of-trade-nikkei-225-down-085-3676620,Investing.com,2024-10-23 06:35:04
53,usd-jpy,Morning Bid: Election and Fed jitters grip markets,A look at the day ahead in European and global markets from Ankur Banerjee  The rising odds of a Trump presidency in a still-too-tight-to-call U.S. election and shifting...,https://www.investing.com/news/economy-news/morning-bid-election-and-fed-jitters-grip-markets-3676545,Reuters,2024-10-23 04:45:52
