,pair,title,description,link,provider,time_published
0,eur-usd,"Asian stocks mixed, dollar drifts before megacap earnings, jobs data",By Kevin Buckland TOKYO (Reuters) -Asian stocks were broadly mixed in volatile trading on Tuesday as investors girded for three days of tech megacap earnings reports on Wall...,https://www.investing.com/news/economy-news/asian-stocks-mixed-dollar-drifts-before-megacap-earnings-jobs-data-3687135,Reuters,2024-10-29 07:00:43
1,eur-usd,Yen mired in political uncertainty; dollar firms ahead of key data,By Rae Wee SINGAPORE (Reuters) -The yen languished near a three-month trough on Tuesday as the loss of a parliamentary majority for Japan's ruling coalition in weekend elections...,https://www.investing.com/news/economy-news/yen-mired-in-political-uncertainty-dollar-looks-to-key-data-releases-3687116,Reuters,2024-10-29 06:20:33
2,eur-usd,Spain stocks higher at close of trade; IBEX 35 up 0.87%,"Investing.com – Spain stocks were higher after the close on Monday, as gains in the Telecoms & IT, Building & Construction and Consumer Services sectors led shares higher. At the...",https://www.investing.com/news/stock-market-news/spain-stocks-higher-at-close-of-trade-ibex-35-up-087-3686454,Investing.com,2024-10-28 17:08:47
3,eur-usd,Italy stocks higher at close of trade; Investing.com Italy 40 up 0.71%,"Investing.com – Italy stocks were higher after the close on Monday, as gains in the Travel & Leisure, Financials and Healthcare sectors led shares higher. At the close in Milan,...",https://www.investing.com/news/stock-market-news/italy-stocks-higher-at-close-of-trade-investingcom-italy-40-up-071-3686450,Investing.com,2024-10-28 17:07:19
4,eur-usd,Germany stocks higher at close of trade; DAX up 0.34%,"Investing.com – Germany stocks were higher after the close on Monday, as gains in the Media, Food & Beverages and Transportation & Logistics sectors led shares higher. At the...",https://www.investing.com/news/stock-market-news/germany-stocks-higher-at-close-of-trade-dax-up-034-3686449,Investing.com,2024-10-28 17:06:18
5,eur-usd,France stocks higher at close of trade; CAC 40 up 0.79%,"Investing.com – France stocks were higher after the close on Monday, as gains in the Basic Materials, Consumer Services and Financials sectors led shares higher. At the close in...",https://www.investing.com/news/stock-market-news/france-stocks-higher-at-close-of-trade-cac-40-up-079-3686444,Investing.com,2024-10-28 17:05:32
6,eur-usd,Finland stocks higher at close of trade; OMX Helsinki 25 up 0.87%,"Investing.com – Finland stocks were higher after the close on Monday, as gains in the Telecoms, Consumer Services and Technology sectors led shares higher. At the close in...",https://www.investing.com/news/stock-market-news/finland-stocks-higher-at-close-of-trade-omx-helsinki-25-up-087-3686427,Investing.com,2024-10-28 17:00:05
7,eur-usd,Poland stocks higher at close of trade; WIG30 up 0.14%,"Investing.com – Poland stocks were higher after the close on Monday, as gains in the Energy, Food and Information Technology sectors led shares higher. At the close in Warsaw, the...",https://www.investing.com/news/stock-market-news/poland-stocks-higher-at-close-of-trade-wig30-up-014-3686382,Investing.com,2024-10-28 16:35:30
8,eur-usd,Yen under pressure after Japan election,"By Laura Matthews, Tom Westbrook, Stefano Rebaudo NEW YORK/SINGAPORE (Reuters) -The yen hit three-month lows against the dollar on Monday, as Japan's ruling coalition's election...",https://www.investing.com/news/economy-news/yen-slips-as-japans-election-result-clouds-boj-rate-hike-prospects-3684767,Reuters,2024-10-28 14:51:26
9,eur-usd,Dollar steady at start of action-packed week; euro edges higher,"Investing.com - The U.S. dollar steadied Monday, on course for a hefty monthly gain, while the euro was steady at the start of an action-packed week. At 05:35 ET (09:35 GMT), the...",https://www.investing.com/news/forex-news/dollar-steady-at-start-of-actionpacked-week-euro-edges-higher-3685009,Investing.com,2024-10-28 09:39:06
10,eur-usd,Take Five: Ready for an action-packed week?,"LONDON (Reuters) -Traders will have their work cut out keeping up with Japan's snap election, U.S. jobs data, a UK budget, euro zone growth numbers and a slew of third-quarter...",https://www.investing.com/news/economy-news/take-five-ready-for-an-actionpacked-week-3684936,Reuters,2024-10-28 07:51:00
11,eur-usd,"ECB should keep open mind on next rate cut, Knot says","By David Milliken WASHINGTON (Reuters) -The European Central Bank should keep its options open regarding future interest rate moves, Dutch central bank chief and ECB Governing...",https://www.investing.com/news/economy-news/ecb-should-keep-rate-options-open-knot-says-3684584,Reuters,2024-10-26 15:20:42
12,eur-usd,ECB's Nagel cautions against too hasty action on rates,"WASHINGTON (Reuters) - The European Central Bank should not be too hasty in adjusting policy, Bundesbank President Joachim Nagel said on Saturday after some of his colleagues made...",https://www.investing.com/news/economy-news/ecbs-nagel-cautions-against-too-hasty-action-on-rates-3684580,Reuters,2024-10-26 13:25:45
13,eur-usd,"There are indications the ""Trump trade"" has commenced, BCA Research says",Investing.com -- US Treasury yields have touched three-month highs as traders gauge the path ahead for Federal Reserve interest rate policy this year and assess the potential...,https://www.investing.com/news/stock-market-news/there-are-indications-the-trump-trade-has-commenced-bca-research-says-3677968,Investing.com,2024-10-26 08:30:00
